                                                                      Department of Statistics                                                                                  ,,,,,,,
TENTATIVE Spring 2020,,,,,,,
,,,,      ,,,
Principles of Statistics,101,4,A,,Kasper,,
,,,,,,,
,,,B,,,,
"Kasper, Kevin (coordinator)",,,,,,,
,,,C,,,,
grading coordinator:,,,,,,,
undergraduate graders,,,D,,,,
,,,,,,,
,,,E,,,,
,,,,,,,
,,,F,,,,
,,,,,,,
,,,G,,,,
,,,,,,,
,,,H,,,,
,,,,,,,
,,,J,,,,
,,,,,,,
,,,K,,,,
,,,,,,,
,,,L,,,,
,,,,,,,
,,,M,,,,
,,,,,,,
,,,,,,,
Introduction to Statistics,104,3,A,,Ziegler,,
,,,,,,,
,,,B,,,,
,,,,,,,
"Ziegler, Laura  (coordinator)",,,C,,,,
,,,,,,,
,,,D,,,,
,,,,,,,
,,,E,,,,
,,,,,,,
,,, F,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Principles of Statistics Honors,201,4,1,,Kasper,,
,,,,,,,
,,,,,,,
Data Acquisn & Exploration,DS202,3,1,,Dai,,
,,,,,,,
Career Development Math/Stat,202X,1,,,Walker,,
,,,,,,,
Introduction to Business Statistics,226,3,A,,Caragea,,
"Caragea, Petrutza (coord)",,,B,,,,
graders:,,,C,,,,
"Berlinsky, Josh (10)",,,D,,,,
"Chen, Zihao (10)",,,E,,,,
"Damiano, Luis (10)",,,F,,,,
"Zemmels, Joe (10)",,,G,,,,
"Roiger, Charlotte (10)",,,J,,,,
,,,,,,,
Engineering Probability,231,4,A,,Sabzikar,,
,.,4,B,,,,
,,,,,,,
Interm. Stat Cncpt&Methods,301,4,A,,Ziegler,,
,,,,,,,
,,,C,,Ziegler,,
,,,,,,,
,,,,,,,
Applied Data Modeling & Prdctv Analysis,DS301,3,,,Chu,,
,,,,,,,
Engineering Statistics,305,3,A,,,,
"Ghosh, Arka (coordinator)",, ,B,,Sherman,,
,, ,C,,,,
,,,D,,,,
,,,E,,,,
,,,F,,,,
,,,XW,,,,
,,,,,,,
Probability for Elec Engin,322,3,,,Ghosh,,
,,,,,,,
Introductory Bus Stats II,326,3,,,Peterson,,
,,,A,,,,
"Peterson, Anna (coordinator)",,,B,,,,
graders:,,,C,,,,
"Wang, Hongxu (10)",,,D,,,,
"Zhang, Haijuan (10)",,,E,,,,
,,,,,Peterson,,
,,,F,,,,
,,,G,,,,
,,,J,,,,
,,,K,,,,
,,,L,,,,
,,,,,,,
Probability for Comp Sci,330,3,A,,Kasper,,
,,,B,,TA,,
,,,,,,,
Theory of Prob & Statistics,341,4,1,,Maitra,,
,,,,,,,
,,,,,,,
Theory of Prob & Statistics,342,4,1,,Roy,,
,,,,,,,
,,,,,,,
Statistical Quality Assurance,361,3,A,,IMSE,,
,,,,,,,
Stat Design & Experiments,402,3,A,,Wu,,
,,,B,,Dutta,,
,,,C,,Wu,,
,,,,,,,
Rgrssn Soc & Bhavioral Rsrch,404,3,2,,Chyzh,,
,,,,,,,
,,,,,,,
Spatial,406,,,,Dixon,,
,,,,,,,
Stat Dsn and Anal of Gene,416,,,,Liu,,
,,,,,,,
Survey Sampling Techniques,421,3,1,,Kim,,
,,,,,,,
,,,,,,,
Bayesian Data Analysis,444,3,1,,Carriquiry,,
,,,,,,,
,,,,,,,
Applied Time Series,451,3,1,,Meeker,,
,,,XW,,,,
,,,,,,,
Categorical Data Analysis,457,3,1,,Froelich,,
,,,,,,,
Stat Computing Applications,480,3,,,Hofmann,,
,,,,,,,
Multivariate Stat Mthds,501,3,1,,Qiu,,
,,,,,,,
Applied Multivariate …,502,3,1,,Vardeman,,
,,,,,,,
Spatial,506,,,,Zhu,,
,,,,,,,
Statistical Methods II,510,3,1,,Nettleton,,
,,,XW,,,,
,,,,,,,
Survey,521,,,,Berg,,
,,,XW,,,,
,,,,,,,
Reliability,533,,,,Meeker,,
,,,,,,,
Theory of Prob & Stats II,543,3,1,,Sabzikar,,
,,,,,,,
Bayesian Statistics,544,3,1,,Ommen,,
,,,,,,,
Bioinformatics II,568,3,1,,Dorman,,
,,,,,,,
Bioinformatics IV,570,3,1,,EE,,
,,,,,,,
Statistical Computing,580,3,1,,Maitra,,
,,,,,,,
Stat Mthds Res Workers,587,4,,,,,
    Ag & Vet,,,A,,Yu,,
,,,,,,,
  Soc,,,B,,L Wang,,
,,,,,,,
"   Engineering, Phys Sci",,,C,distance only,Nordman <<< ON-LINE ONLY,,
,,,XW,,,,
,,,,,,,
Stat Theory for Research Workers,588,4,1,,Ommen,,
,,,,,,,
,,,,,,,
Advanced Stat Methods,601,3,1,,Kaiser,,
,,,,,,,
Advanced Survey,621,,,,Kim,,
,,,,,,,
Adv Probability Theory,642,3,,,Roy,,
,,,,,,,
Adv Stochastic Processes,645,3,,,MATH,,
,,,,,,,
